feature,coefficient,importance_absolue
cat__Contract_Two year,-0.882188592004345,0.882188592004345
cat__Contract_Month-to-month,0.7029078245400062,0.7029078245400062
num__tenure,-0.3825318787230392,0.3825318787230392
num__MonthlyCharges,-0.2610134161802303,0.2610134161802303
cat__TechSupport_No,0.24122004810709446,0.24122004810709446
num__InternetCharges,0.23102985703828355,0.23102985703828355
cat__TechSupport_No internet service,-0.18244430258335792,0.18244430258335792
cat__MultipleLines_Yes,-0.174417605299269,0.174417605299269
cat__OnlineBackup_Yes,-0.17251996253783136,0.17251996253783136
num__TotalCharges,-0.16010829091800022,0.16010829091800022
cat__Contract_One year,0.15791755029197319,0.15791755029197319
cat__MultipleLines_No phone service,0.15009622890141916,0.15009622890141916
cat__PhoneService_No,-0.13600031433617374,0.13600031433617374
cat__StreamingTV_Yes,0.12756626201148166,0.12756626201148166
cat__StreamingTV_No internet service,-0.12491722046381955,0.12491722046381955
cat__PhoneService_Yes,0.11463709716381766,0.11463709716381766
cat__InternetService_Fiber optic,0.10020620352117157,0.10020620352117157
cat__InternetService_DSL,-0.0909016196934203,0.0909016196934203
cat__OnlineBackup_No,0.08085073109346815,0.08085073109346815
cat__TechSupport_Yes,-0.08013896269609126,0.08013896269609126
cat__Dependents_No,-0.07663275740130558,0.07663275740130558
cat__Partner_Yes,-0.07556619323932642,0.07556619323932642
cat__gender_Male,-0.07547185575224175,0.07547185575224175
cat__OnlineBackup_No internet service,0.07030601427201452,0.07030601427201452
cat__DeviceProtection_No internet service,-0.0701636759126389,0.0701636759126389
cat__Dependents_Yes,0.05526954022895434,0.05526954022895434
cat__DeviceProtection_No,0.05437708603120297,0.05437708603120297
cat__Partner_No,0.05420297606697607,0.05420297606697607
cat__gender_Female,0.05410863857989257,0.05410863857989257
cat__StreamingMovies_No,-0.043281807140271904,0.043281807140271904
cat__OnlineSecurity_No,-0.035242122987566474,0.035242122987566474
cat__InternetService_No,-0.030667801000102645,0.030667801000102645
num__SeniorCitizen,-0.02907746527483069,0.02907746527483069
cat__StreamingMovies_Yes,0.027805121033204518,0.027805121033204518
cat__StreamingTV_No,-0.024012258720006882,0.024012258720006882
cat__OnlineSecurity_Yes,0.008481925563095764,0.008481925563095764
cat__StreamingMovies_No internet service,-0.005886531065285325,0.005886531065285325
cat__DeviceProtection_Yes,-0.00557662729091802,0.00557662729091802
cat__OnlineSecurity_No internet service,0.005396980252123402,0.005396980252123402
cat__MultipleLines_No,0.002958159225494175,0.002958159225494175
